Type,Word,Chapter,Start Verse,End Verse
Single,abyss,8,31,
Single,repeatedly,8,31,
Single,feeding,8,32,
Single,hillside,8,32,
Single,permission,8,32,
Single,bank,8,33,
Single,drowned,8,33,
Single,rushed,8,33,
Single,steep,8,33,
Single,tending,8,34,
Single,dying,8,42,
Single,subject,8,43,
Single,pressing,8,45,
Single,instantly,8,47,
Single,trembling,8,47,
Single,unnoticed,8,47,
Single,anymore,8,49,
Single,arrived,8,51,
Single,mourning,8,52,
Single,laughed,8,53,
Single,cure,9,1,
Single,staff,9,3,
Single,everywhere,9,6,
Single,perplexed,9,7,
Single,beheaded,9,9,
Single,late,9,12,
Single,lodging,9,12,
Single,remote,9,12,
Single,groups,9,14,
Single,distribute,9,16,
Single,basketfuls,9,17,
Single,private,9,18,
Single,strictly,9,21,
Single,forfeit,9,25,
Single,self,9,25,
Single,onto,9,28,
Single,bright,9,29,
Single,changed,9,29,
Single,flash,9,29,
Single,glorious,9,30,
Single,departure,9,31,
Single,awake,9,32,
Single,sleepy,9,32,
Single,shelters,9,33,
Single,convulsions,9,39,
Single,destroying,9,39,
Single,foams,9,39,
Single,scarcely,9,39,
Single,screams,9,39,
Single,seizes,9,39,
Single,throws,9,39,
Single,perverse,9,41,
Single,unbelieving,9,41,
Single,convulsion,9,42,
Single,greatness,9,43,
Single,marveling,9,43,
Single,grasp,9,45,
Single,argument,9,46,
Single,resolutely,9,51,
Single,heading,9,53,
Single,walking,9,57,
Single,wherever,9,57,
Single,dens,9,58,
Single,foxes,9,58,
Single,nests,9,58,
Single,goodbye,9,61,
Single,looks,9,62,
Single,plow,9,62,
Single,plentiful,10,2,
Single,lambs,10,3,
Single,sending,10,3,
Single,wolves,10,3,
Single,greet,10,4,
Single,promotes,10,6,
Single,wages,10,7,
Single,worker,10,7,
Single,warning,10,11,
Single,wipe,10,11,
Single,ashes,10,13,
Single,chorazin,10,13,
Single,sackcloth,10,13,
Single,heavens,10,15,
Single,enemy,10,19,
Single,harm,10,19,
Single,scorpions,10,19,
Single,snakes,10,19,
Single,trample,10,19,
Single,names,10,20,
Single,chooses,10,22,
Single,reveal,10,22,
Single,privately,10,23,
Single,occasion,10,25,
Single,strength,10,27,
Single,attacked,10,30,
Single,stripped,10,30,
Single,levite,10,32,
Single,bandaged,10,34,
Single,inn,10,34,
Single,pouring,10,34,
Single,wounds,10,34,
Single,expense,10,35,
Single,innkeeper,10,35,
Single,reimburse,10,35,
Single,distracted,10,40,
Single,upset,10,41,
Single,worried,10,41,
Single,hallowed,11,2,
Single,midnight,11,5,
Single,audacity,11,8,
Single,friendship,11,8,
Single,shameless,11,8,
Single,knock,11,9,
Single,receives,11,10,
Single,seeks,11,10,
Single,fathers,11,11,
Single,snake,11,11,
Single,egg,11,12,
Single,scorpion,11,12,
Single,prince,11,15,
Single,tested,11,16,
Single,claim,11,18,
Single,judges,11,19,
Single,armed,11,21,
Single,guards,11,21,
Single,armor,11,22,
Single,attacks,11,22,
Single,divides,11,22,
Single,overpowers,11,22,
Single,plunder,11,22,
Single,stronger,11,22,
Single,scatters,11,23,
Single,arid,11,24,
Single,seeking,11,24,
Single,arrives,11,25,
Single,swept,11,25,
Single,condition,11,26,
Single,final,11,26,
Single,increased,11,29,
Single,ninevites,11,30,
Single,ends,11,31,
Single,queen,11,31,
Single,solomon's,11,31,
Single,nineveh,11,32,
Single,bowl,11,33,
Single,unhealthy,11,34,
Single,shines,11,36,
Single,meal,11,38,
Single,surprised,11,38,
Single,wash,11,38,
Single,dish,11,39,
Single,wickedness,11,39,
Single,generous,11,41,
Single,former,11,42,
Single,herbs,11,42,
Single,latter,11,42,
Single,mint,11,42,
Single,neglect,11,42,
Single,practiced,11,42,
Single,rue,11,42,
Single,undone,11,42,
Single,respectful,11,43,
Single,graves,11,44,
Single,unmarked,11,44,
Single,burdens,11,46,
Single,hardly,11,46,
Single,load,11,46,
Single,approve,11,48,
Single,testify,11,48,
Single,shed,11,50,
Single,abel,11,51,
Single,sanctuary,11,51,
Single,entering,11,52,
Single,hindered,11,52,
Single,key,11,52,
Single,besiege,11,53,
Single,fiercely,11,53,
Single,hypocrisy,12,1,
Single,thousands,12,1,
Single,trampling,12,1,
Single,daylight,12,3,
Single,inner,12,3,
Single,roofs,12,3,
Single,rooms,12,3,
Single,whispered,12,3,
Single,hell,12,5,
Single,forgotten,12,6,
Single,pennies,12,6,
Single,sold,12,6,
Single,hairs,12,7,
Single,worth,12,7,
Single,acknowledge,12,8,
Single,acknowledges,12,8,
Single,disowned,12,9,
Single,disowns,12,9,
Single,blasphemes,12,10,
Single,authorities,12,11,
Single,arbiter,12,14,
Single,abundance,12,15,
Single,consist,12,15,
Single,abundant,12,16,
Single,crops,12,17,
Single,barns,12,18,
Single,surplus,12,18,
Single,tear,12,18,
Single,easy,12,19,
Single,merry,12,19,
Single,plenty,12,19,
Single,fool,12,20,
Single,stores,12,21,
Single,feeds,12,24,
Single,ravens,12,24,
Single,storeroom,12,24,
Single,valuable,12,24,
Single,add,12,25,
Single,single,12,25,
Single,worrying,12,25,
Single,flowers,12,27,
Single,grow,12,27,
